SampleID,Decimal.Chronological.Age
204229100103_R06C01,35.9
204229100104_R01C01,43.08
204229100104_R02C01,55.35
204229100104_R03C01,31.1
204229100104_R04C01,43.09
204229100104_R05C01,55.35
204229100104_R06C01,29.81
204229100104_R07C01,38.76
204229100104_R08C01,47.65
204229100105_R04C01,72.7
204229100105_R05C01,70.65
204229100105_R06C01,56.44
204229100105_R08C01,45.23
204229100124_R01C01,43.87
204229100124_R02C01,29.42
204229100124_R03C01,42.45
204229100124_R04C01,54.42
204229100124_R05C01,24.42
204229100124_R06C01,44.68
204229100124_R07C01,67.11
204229100125_R01C01,73.84
204229100125_R02C01,61.44
204229100125_R03C01,32.77
204229100125_R04C01,49.2
204229100125_R05C01,56.23
204229100125_R06C01,54.14
204229100125_R07C01,49.75
204229100125_R08C01,54.31
204229100126_R01C01,53.8
204229100126_R02C01,39.34
204229100126_R03C01,65.35
204229100126_R04C01,72.68
204229100126_R05C01,64.16
204229100126_R06C01,51.01
204229100126_R07C01,33.55
204229100126_R08C01,49.37
204229100127_R01C01,63.89
204229100127_R02C01,69.6
204229100127_R03C01,65.81
204229100127_R04C01,61.42
204229100127_R05C01,51.43
204229100127_R06C01,58.77
204229100127_R07C01,56.27
204229100127_R08C01,80.64
204229100136_R01C01,60.13
204229100136_R02C01,69.68
204229100136_R03C01,53.14
204229100136_R04C01,31.26
204229100136_R05C01,53.1
204229100136_R06C01,65.28
204229100136_R07C01,56.6
204229100136_R08C01,97.79
204229100137_R02C01,50.34
204229100137_R03C01,44.41
204229100137_R05C01,55.14
204229100137_R06C01,62.47
204229100137_R07C01,73.17
204229100137_R08C01,79.32
204229100139_R01C01,70.67
204229100139_R02C01,53.34
204229100139_R03C01,41.48
204229100139_R04C01,70.97
204229100139_R05C01,58.34
204229100139_R06C01,74.93
204229100139_R07C01,47.29
204229100139_R08C01,27.66
204229100140_R01C01,45.99
204229100140_R02C01,42.4
204229100140_R03C01,37.13
204229100140_R04C01,69.49
204229100140_R05C01,53.35
204229100140_R06C01,40
204229100140_R07C01,42.59
204229100140_R08C01,40.54
204229100141_R01C01,54.98
204229100141_R02C01,66.55
204229100141_R03C01,39
204229100141_R04C01,44.99
204229100141_R05C01,43.71
204229100141_R06C01,38.99
204229100141_R07C01,56.1
204229100141_R08C01,58.91
204229100142_R01C01,50.25
204229100142_R02C01,67.33
204229100142_R03C01,44.05
204229100142_R04C01,39.94
204229100142_R05C01,39.17
204229100142_R06C01,62.42
204229100142_R07C01,48.19
204229100142_R08C01,73.88
204229100143_R03C01,57.13
204229100143_R04C01,69.55
204229100143_R05C01,36.34
204229100143_R06C01,62.38
204229100143_R07C01,46.37
204229100144_R01C01,36.1
204229100144_R02C01,38.7
204229100144_R03C01,53.25
204229100144_R04C01,63.55
204229100144_R05C01,65.31
204229100144_R08C01,63.36
204229100148_R01C01,59.26
204229100148_R02C01,39.76
204229100148_R03C01,59.61
204229100148_R04C01,72.59
204229100148_R05C01,59.17
204229100148_R06C01,62.17
204229100148_R07C01,42.11
204229100148_R08C01,53.22
204229100153_R01C01,32.08
204229100153_R02C01,25.18
204229100153_R03C01,56.08
204229100153_R04C01,61.57
204229100153_R05C01,43.32
204229100153_R06C01,36.33
204229100153_R07C01,37.92
204229100153_R08C01,65.14
204229100155_R01C01,59.69
204229100155_R02C01,70.31
204229100155_R03C01,64.6
204229100155_R04C01,54.24
204229100155_R05C01,51.27
204229100155_R06C01,52.26
204229100155_R07C01,65.81
204229100155_R08C01,67.72
204229100157_R01C01,50.6
204229100157_R02C01,60.54
204229100157_R03C01,75.29
204229100157_R04C01,55.24
204229100157_R05C01,48.35
204229100157_R06C01,63.39
204229100157_R07C01,72.61
204229100157_R08C01,60.39
204229100158_R01C01,58.85
204229100158_R02C01,64.08
204229100158_R03C01,51.26
204229100158_R04C01,52.38
204229100158_R05C01,47.31
204229100158_R06C01,58.7
204229100158_R07C01,42.88
204229100158_R08C01,54.98
204229100159_R01C01,66.41
204229100159_R02C01,42.61
204229100159_R03C01,65.52
204229100159_R04C01,52.47
204229100159_R05C01,59.72
204229100159_R06C01,46.18
204229100159_R07C01,50.42
204229100159_R08C01,48.31
204229100167_R01C01,54.67
204229100167_R02C01,40.81
204229100167_R03C01,63.14
204229100167_R04C01,60.61
204229100167_R05C01,33.51
204229100167_R06C01,38.86
204229100167_R07C01,54.42
204229100167_R08C01,58.79
204229100168_R01C01,50.07
204229100168_R02C01,64.79
204229100168_R03C01,62.09
204229100168_R04C01,55.42
204229100168_R05C01,63.03
204229100168_R06C01,40.69
204229100168_R07C01,62.19
204229100168_R08C01,37.72
204229110010_R01C01,41.76
204229110010_R02C01,57.31
204229110010_R03C01,55.17
204229110010_R04C01,58.03
204229110010_R05C01,43.06
204229110010_R06C01,64.54
204229110010_R07C01,33.09
204229110010_R08C01,49.63
204229110011_R01C01,63.75
204229110011_R02C01,55.7
204229110011_R03C01,56.44
204229110011_R04C01,25.22
204229110011_R05C01,83.52
204229110011_R06C01,52.18
204229110011_R07C01,54.34
204229110011_R08C01,57.54
204229110016_R01C01,57.6
204229110016_R02C01,77.72
204229110016_R03C01,41.11
204229110016_R04C01,51.98
204229110016_R05C01,50.66
204229110016_R06C01,43.96
204229110016_R07C01,40.26
204229110016_R08C01,61.74
204229110022_R01C01,67.18
204229110022_R02C01,52.59
204229110022_R03C01,36.06
204229110022_R04C01,61.59
204229110022_R05C01,60.37
204229110022_R06C01,54.44
204229110022_R07C01,47.84
204229110022_R08C01,53.17
204229110023_R01C01,27.33
204229110023_R02C01,38.82
204229110023_R03C01,35.82
204229110023_R04C01,73.18
204229110023_R05C01,63.01
204229110023_R06C01,45.13
204229110023_R07C01,61.58
204229110023_R08C01,38.81
204229110024_R01C01,58.42
204229110024_R02C01,50.97
204229110024_R03C01,39.5
204229110024_R04C01,55.56
204229110024_R05C01,63.5
204229110024_R06C01,20.62
204229110024_R07C01,64.21
204229110024_R08C01,22.21
204229110025_R02C01,66.39
204229110025_R03C01,34.48
204229110025_R04C01,45.9
204229110025_R05C01,66.94
204229110025_R06C01,36.1
204229110025_R08C01,48.12
204229110026_R02C01,64.12
204229110026_R03C01,50.52
204229110026_R04C01,59.99
204229110026_R06C01,56.81
204229110026_R07C01,67.98
204229110027_R01C01,44.67
204229110027_R02C01,50.52
204229110027_R03C01,78.46
204229110027_R04C01,48.67
204229110027_R05C01,57.7
204229110027_R06C01,42.32
204229110027_R07C01,28.76
204229110034_R01C01,50.5
204229110034_R02C01,43.33
204229110034_R03C01,59.04
204229110034_R04C01,44.52
204229110034_R05C01,50.03
204229110034_R07C01,37.19
204229110034_R08C01,34.66
204229110040_R01C01,77.49
204229110040_R02C01,68.32
204229110040_R03C01,58.74
204229110040_R04C01,54.03
204229110040_R05C01,76.57
204229110040_R07C01,44.81
204229110040_R08C01,51.28
204229110041_R01C01,80.51
204229110041_R02C01,77.38
204229110041_R03C01,48.06
204229110041_R04C01,67.68
204229110041_R05C01,81.97
204229110041_R06C01,53.56
204229110041_R07C01,49.91
204229110041_R08C01,63.32
204229110042_R01C01,31.19
204229110042_R02C01,64.35
204229110042_R03C01,66.88
204229110042_R04C01,46.4
204229110042_R05C01,66.1
204229110042_R06C01,62.07
204229110042_R07C01,57.75
204229110042_R08C01,57
204229110047_R01C01,56.73
204229110047_R02C01,47.6
204229110047_R03C01,34.2
204229110047_R04C01,69.97
204229110047_R05C01,55.51
204229110047_R06C01,72.38
204229110047_R07C01,44.9
204229110047_R08C01,55.57
204229110054_R01C01,71.3
204229110054_R02C01,59
204229110054_R03C01,73.14
204229110054_R04C01,40.89
204229110054_R05C01,88.12
204229110054_R06C01,38.9
204229110054_R07C01,42.2
204229110054_R08C01,63.9
204229110055_R01C01,70.73
204229110055_R02C01,69.43
204229110055_R03C01,57.37
204229110055_R04C01,53.01
204229110055_R05C01,38.61
204229110055_R06C01,42.14
204229110055_R07C01,54.19
204229110055_R08C01,45.67
204229110057_R01C01,80.11
204229110057_R02C01,73.61
204229110057_R03C01,61.02
204229110057_R04C01,70.66
204229110060_R01C01,33.03
204229110060_R03C01,72.14
204229110060_R04C01,55.75
204229110060_R05C01,56.93
204229110060_R06C01,55.92
204229110060_R07C01,56.78
204229110060_R08C01,40.43
204229110061_R01C01,66.36
204229110061_R02C01,51.93
204229110061_R03C01,47.55
204229110061_R04C01,43.01
204229110061_R05C01,61.7
204229110061_R06C01,58.34
204229110061_R07C01,46.34
204229110061_R08C01,24.62
204229110062_R01C01,61.18
204229110062_R02C01,55.44
204229110062_R03C01,44.65
204229110062_R04C01,59
204229110062_R05C01,62.04
204229110062_R06C01,66.59
204229110062_R07C01,72.79
204229110062_R08C01,65.35
204229110063_R01C01,51.34
204229110063_R02C01,44.54
204229110063_R03C01,48.2
204229110063_R04C01,78.43
204229110063_R05C01,51.24
204229110063_R06C01,34.98
204229110063_R07C01,49.24
204229110063_R08C01,56.24
204229110067_R02C01,45.44
204229110067_R06C01,47.26
204229110067_R07C01,54.21
204229110067_R08C01,62.35
204229110069_R01C01,69.63
204229110069_R03C01,47.59
204229110069_R04C01,23.31
204229110069_R05C01,51.74
204229110069_R06C01,66.75
204229110069_R07C01,60.47
204229110069_R08C01,48.53
204229110070_R01C01,49.98
204229110070_R02C01,60.62
204229110070_R03C01,53.3
204229110070_R04C01,51.36
204229110070_R05C01,34.62
204229110070_R06C01,38.73
204229110070_R07C01,69.39
204229110070_R08C01,37.8
204229110071_R01C01,55.41
204229110071_R02C01,28.31
204229110071_R03C01,64.4
204229110071_R04C01,34.48
204229110071_R05C01,57.09
204229110071_R06C01,46.29
204229110071_R07C01,62.24
204229110071_R08C01,19.33
204229110072_R01C01,51.05
204229110072_R02C01,59.28
204229110072_R03C01,43.87
204229110072_R04C01,69.4
204229110072_R06C01,51.39
204229110072_R07C01,43
204229110072_R08C01,50.13
204229110074_R01C01,58
204229110074_R02C01,50.34
204229110074_R03C01,44.4
204229110074_R04C01,53.71
204229110074_R05C01,67.63
204229110074_R06C01,66.78
204229110074_R07C01,67.39
204229110074_R08C01,45.84
204229110080_R01C01,53.43
204229110080_R02C01,38.74
204229110080_R03C01,77.29
204229110080_R04C01,49.21
204229110080_R05C01,63.04
204229110080_R06C01,66.58
204229110080_R07C01,59.67
204229110080_R08C01,66.84
204229110087_R01C01,80.47
204229110087_R02C01,45.27
204229110087_R03C01,65.44
204229110087_R04C01,60.8
204229110087_R05C01,61.49
204229110087_R06C01,58.75
204229110087_R07C01,52.11
204229110087_R08C01,55.05
204229110091_R01C01,45.06
204229110091_R02C01,68.7
204229110091_R03C01,20.97
204229110091_R04C01,30.71
204229110091_R05C01,66.73
204229110091_R06C01,40.41
204229110091_R07C01,67.47
204229110091_R08C01,43.91
204229110092_R01C01,75.19
204229110092_R02C01,61.02
204229110092_R03C01,39.87
204229110092_R04C01,45.96
204229110092_R05C01,50.96
204229110092_R06C01,42.71
204229110092_R07C01,73.63
204229110092_R08C01,60.13
204229110093_R01C01,61.86
204229110093_R02C01,37.58
204229110093_R03C01,55.03
204229110093_R04C01,67.37
204229110093_R05C01,39.35
204229110093_R06C01,54.16
204229110093_R07C01,79.2
204229110094_R01C01,45.09
204229110094_R02C01,56.96
204229110094_R03C01,49.27
204229110094_R04C01,61
204229110094_R05C01,42.53
204229110094_R06C01,39.5
204229110094_R08C01,50.85
204229110095_R01C01,68.68
204229110095_R02C01,50.13
204229110095_R03C01,60.82
204229110095_R04C01,70.74
204229110095_R05C01,60.32
204229110095_R06C01,62.53
204229110095_R07C01,61.08
204229110095_R08C01,70.46
204229110096_R01C01,38.51
204229110096_R02C01,51.22
204229110096_R03C01,54.54
204229110096_R04C01,45.28
204229110096_R05C01,60.41
204229110096_R06C01,41.07
204229110096_R07C01,46.63
204229110096_R08C01,57.4
204229110100_R01C01,51.1
204229110100_R02C01,64.46
204229110100_R03C01,65.59
204229110100_R04C01,66.26
204229110100_R05C01,51.26
204229110100_R06C01,52.12
204229110100_R07C01,54.98
204229110100_R08C01,47.91
204229110102_R01C01,19.36
204229110102_R02C01,41.07
204229110102_R03C01,38.69
204229110102_R04C01,58.57
204229110102_R05C01,47.38
204229110102_R06C01,34.74
204229110102_R07C01,52.91
204229110102_R08C01,23.97
204229110106_R01C01,47.4
204229110106_R02C01,67.28
204229110106_R04C01,49.48
204229110106_R05C01,69.66
204229110106_R06C01,65.99
204229110106_R07C01,52.55
204229110106_R08C01,61.75
204229110107_R01C01,67.94
204229110107_R02C01,70.29
204229110107_R03C01,66.47
204229110107_R04C01,43.47
204229110107_R05C01,73.07
204229110107_R06C01,52.23
204229110107_R07C01,58.08
204229110107_R08C01,57.81
204229110112_R01C01,26.77
204229110112_R02C01,64.75
204229110112_R03C01,60.15
204229110112_R04C01,44.8
204229110112_R05C01,50.77
204229110112_R06C01,58.71
204229110112_R07C01,46.89
204229110112_R08C01,45.49
204229110118_R01C01,69.59
204229110118_R03C01,38.03
204229110118_R06C01,47.75
204229110118_R07C01,66.49
204229110118_R08C01,33.69
204229110120_R01C01,67.53
204229110120_R02C01,61.26
204229110120_R03C01,50.71
204229110120_R04C01,52.32
204229110120_R05C01,37.04
204229110120_R06C01,50.55
204229110120_R07C01,32.13
204229110120_R08C01,47.52
204229110127_R01C01,41.85
204229110127_R02C01,27.72
204229110127_R03C01,57.07
204229110127_R04C01,43.83
204229110127_R05C01,51.78
204229110127_R06C01,53.79
204229110127_R07C01,66.77
204229110127_R08C01,26.69
204229110129_R01C01,47.15
204229110129_R03C01,58.49
204229110129_R05C01,67.48
204229110129_R06C01,63.34
204229110134_R01C01,51.27
204229110134_R02C01,67.74
204229110134_R03C01,54
204229110134_R04C01,56.16
204229110134_R05C01,44.02
204229110134_R06C01,45.53
204229110134_R07C01,35.74
204229110134_R08C01,48.01
204229110136_R02C01,44.26
204229110136_R03C01,53.91
204229110136_R04C01,42.75
204229110136_R05C01,53.52
204229110136_R07C01,54.4
204229110136_R08C01,52.88
204229110137_R01C01,49.49
204229110137_R02C01,52.75
204229110137_R03C01,59.79
204229110137_R04C01,66.83
204229110137_R05C01,62.13
204229110137_R06C01,51.12
204229110137_R07C01,32.12
204229110137_R08C01,46.42
204229110139_R01C01,44.45
204229110139_R03C01,57.06
204229110139_R07C01,48.34
204229110140_R01C01,44.02
204229110140_R02C01,46.98
204229110140_R03C01,37.11
204229110140_R04C01,34.77
204229110140_R05C01,71.24
204229110140_R06C01,35.82
204229110140_R07C01,39.54
204229110140_R08C01,54.72
204229110144_R01C01,46.74
204229110144_R02C01,47.7
204229110144_R03C01,42.04
204229110144_R04C01,64.04
204229110144_R05C01,48.84
204229110144_R06C01,57.13
204229110144_R07C01,52.18
204229110144_R08C01,45.64
204229110154_R01C01,29.63
204229110154_R02C01,40.33
204229110154_R03C01,29.03
204229110154_R04C01,68.86
204229110154_R05C01,65.03
204229110154_R06C01,48.39
204229110154_R07C01,33.71
204229110159_R01C01,56.59
204229110159_R02C01,48.42
204229110159_R03C01,59.17
204229110159_R04C01,31.05
204229110159_R07C01,30.91
204229110159_R08C01,65.83
204229110160_R01C01,78.62
204229110160_R02C01,69.68
204229110160_R03C01,24.53
204229110160_R06C01,73.6
204229110160_R07C01,63
204229110160_R08C01,51.94
204229110161_R01C01,60.28
204229110161_R02C01,43.29
204229110161_R03C01,59.06
204229110161_R04C01,34.94
204229110161_R05C01,79.32
204229110161_R06C01,58.18
204229110161_R07C01,62.31
204229110161_R08C01,51.24
204229110162_R01C01,33.67
204229110162_R02C01,45.8
204229110162_R03C01,38.95
204229110162_R04C01,55
204229110162_R05C01,21.25
204229110162_R06C01,67.9
204229110162_R07C01,20.19
204229110162_R08C01,35.68
204229110163_R01C01,61.04
204229110163_R02C01,55
204229110163_R03C01,42.4
204229110163_R04C01,49.92
204229110163_R05C01,45.9
204229110163_R06C01,30.97
204229110163_R07C01,57.18
204229110163_R08C01,48.53
204229110164_R01C01,75.04
204229110164_R02C01,44.46
204229110164_R03C01,61.32
204229110164_R04C01,41.57
204229110164_R05C01,56.93
204229110164_R06C01,53.91
204229110164_R07C01,51.67
204229110164_R08C01,46.08
204229110165_R01C01,53.77
204229110165_R02C01,68.63
204229110165_R03C01,62.5
204229110165_R04C01,82.11
204229110165_R05C01,56.3
204229110165_R06C01,51.72
204229110165_R08C01,48.23
204229110167_R01C01,51.43
204229110167_R02C01,63.83
204229110167_R03C01,66.95
204229110167_R04C01,54.25
204229110167_R05C01,76.24
204229110167_R07C01,67.97
204229110167_R08C01,64.55
204229110168_R01C01,49.74
204229110168_R02C01,56.59
204229110168_R03C01,46.04
204229110168_R04C01,57.07
204229110168_R05C01,54.11
204229110168_R06C01,59.87
204229110168_R07C01,64.4
204229180004_R01C01,30.52
204229180004_R03C01,61.35
204229180004_R04C01,38.26
204229180004_R05C01,49.47
204229180004_R06C01,50.27
204229180004_R07C01,58.87
204229180004_R08C01,31.63
204229180005_R01C01,73.08
204229180005_R02C01,50.5
204229180005_R03C01,62.01
204229180005_R05C01,51.8
204229180005_R06C01,48.35
204229180005_R07C01,61.22
204229180005_R08C01,55.45
204229180022_R01C01,59.97
204229180022_R02C01,63.11
204229180022_R03C01,81.98
204229180022_R04C01,68.71
204229180022_R05C01,60
204229180022_R06C01,57.13
204229180022_R07C01,73.19
204229180022_R08C01,45.35
204229180024_R01C01,55.47
204229180024_R02C01,52.85
204229180024_R03C01,57.57
204229180024_R05C01,45.94
204229180024_R06C01,49.68
204229180024_R07C01,72.23
204229180024_R08C01,73.03
204316900081_R01C01,42.72
204316900081_R04C01,41.23
204316900081_R05C01,41.71
204316900081_R06C01,48.03
204316900081_R07C01,42.24
204316900081_R08C01,68.21
204316900083_R01C01,70.6
204316900083_R02C01,63.7
204316900083_R03C01,42.61
204316900083_R04C01,47.57
204316900083_R05C01,61.28
204316900083_R06C01,62.48
204316900083_R07C01,56.8
204316900084_R01C01,58.35
204316900084_R02C01,62.24
204316900084_R03C01,57.64
204316900084_R05C01,39.78
204316900084_R06C01,34.47
204316900084_R07C01,52.92
204316900085_R01C01,60.56
204316900085_R02C01,56.31
204316900085_R03C01,66.58
204316900085_R04C01,51.72
204316900085_R05C01,43.61
204316900085_R06C01,64.03
204316900085_R07C01,75.93
204316900085_R08C01,40.7
204316900088_R01C01,48.44
204316900088_R02C01,79.92
204316900088_R03C01,79.21
204316900088_R04C01,50.52
204316900088_R05C01,65.04
204316900088_R06C01,67
204316900088_R07C01,66.09
204316900088_R08C01,61.14
204316900089_R01C01,30.22
204316900089_R02C01,66.25
204316900089_R03C01,48.89
204316900089_R04C01,42.09
204316900089_R05C01,41.38
204316900089_R06C01,36.09
204316900089_R07C01,46.61
204316900089_R08C01,59.39
204316900090_R01C01,68.19
204316900090_R02C01,47.04
204316900090_R03C01,45.39
204316900090_R04C01,45.93
204316900090_R05C01,69.61
204316900090_R06C01,72.18
204316900090_R07C01,56.8
204316900090_R08C01,71.77
204316900098_R01C01,59.32
204316900098_R02C01,43
204316900098_R03C01,45.72
204316900098_R04C01,41.59
204316900098_R05C01,38.9
204316900098_R06C01,44.21
204316900098_R07C01,57.01
204316900099_R01C01,44.62
204316900099_R02C01,54.55
204316900099_R03C01,46.11
204316900099_R04C01,44.34
204316900099_R05C01,71.12
204316900099_R06C01,71.78
204316900099_R07C01,82.41
204316900099_R08C01,63.73
204316900111_R02C01,46.3
204316900111_R03C01,58.69
204316900111_R04C01,63.31
204316900111_R05C01,45.34
204316900111_R06C01,54.59
204316900111_R07C01,73.14
204316900111_R08C01,44.32
204316900115_R01C01,64.26
204316900115_R02C01,68
204316900115_R03C01,32.7
204316900115_R04C01,51.11
204316900115_R05C01,40.25
204316900115_R06C01,45.34
204316900115_R07C01,37.18
204316900115_R08C01,47.63
204316900125_R01C01,48.8
204316900125_R02C01,59.8
204316900125_R03C01,51.32
204316900125_R04C01,42.98
204316900125_R05C01,62.88
204316900125_R06C01,67.62
204316900125_R07C01,62.64
204316900125_R08C01,49.63
204316900128_R01C01,47.98
204316900128_R02C01,46.17
204316900128_R03C01,53.89
204316900128_R04C01,36.56
204316900128_R05C01,37.22
204316900128_R06C01,36.05
204316900128_R07C01,64.37
204316900128_R08C01,91.52
204316900140_R02C01,46.45
204316900140_R03C01,30.54
204316900140_R06C01,50.65
204316900140_R07C01,52.27
204316900141_R01C01,70.81
204316900141_R03C01,44.5
204316900141_R04C01,53.33
204316900141_R05C01,49.65
204316900141_R06C01,51.94
204316900141_R07C01,70.48
204316900141_R08C01,44.53
204316900167_R01C01,38.4
204316900167_R02C01,64.18
204316900167_R03C01,63.63
204316900167_R05C01,66.02
204316900167_R06C01,64.47
204316900167_R07C01,51.66
204316900167_R08C01,42.9
